ID,DEMESEUL,AGENCE,VILLE,NOTE GOOGLE,AVIS GOOGLE,POPULARITE GOOGLE,NOTE AV,AVIS AV,POPULARITE AV,REF ID,RATIO GOOGLE,RATIO AV
42-GUER,0,Aber Roussel GUER,Guer,"4,4",214,519,"4,5",660,1652,75,"",""
42-LORI,0,Aber Roussel LORIENT,Lorient,"4,4",79,187,"5,0",1,3,74,"",""
42-LORI,0,Aber Roussel QUIMPER,Quimper,"4,7",27,72,,,,73,"",""
42-LORI,0,Aber Roussel RENNES,Rennes,"4,9",126,362,,,,72,"",""
42-LORI,0,Aber Roussel SAINT MALO,Saint-Malo,"4,9",48,138,,,,178,"",""
42-LORI,0,Aber Roussel VANNES,Vannes,"4,6",64,166,,,,71,"",""
16-ACEGIB,1,ACE GIBOUIN Cholet,Cholet,"4,8",19,53,,,,1174,"",""
16-ACEGIB,1,ACE GIBOUIN Niort,Niort,"4,3",77,179,,,,1172,"",""
16-ACEGIB,1,ACE GIBOUIN Saint Gilles Croix de Vie,Saint-Gilles-Croix-de-Vie,"4,3",42,97,,,,1173,"",""
70-SIEGE,0,ADC Ile de France,Paris,"4,4",39,92,"4,7",138,368,9,"",""
43-ROUE,0,ADN Arques la Bataille,Arques-la-Bataille,"5,0",21,63,"5,0",1,3,188,"",""
43-ROUE,0,ADN Evreux,Evreux,"4,4",17,40,"4,8",5,14,77,"",""
43-ROUE,0,ADN Le Havre,Le Havre,"4,8",13,36,"4,8",9,25,79,"",""
43-ROUE,0,ADN Rouen Le Grand-Quevilly,Grand-Couronne,"4,4",99,235,"4,6",108,286,78,"",""
2-ORL,1,AE MALLET Orléans,Orléans,"4,3",112,253,,,,1132,"",""
73-A,1,AFRADEM Paris,Paris,"4,6",41,108,,,,1178,"",""
70-SIEGE,0,Agence Didier Chevrier Paris 1er,Paris,"4,6",18,47,,,,245,"",""
4-BRE,1,AMENAGEURS-ORLEANAIS,Orléans,"4,5",267,665,,,,1145,"",""
51-47000,1,ANDRE RAYNAL Agen,Agen,"4,3",8,18,,,,1133,"",""
51-82000,1,ANDRE RAYNAL Montauban,Montauban,"1,0",1,-1,,,,1134,"",""
51-31200,1,ANDRE RAYNAL Toulouse,Toulouse,"4,2",119,258,,,,1135,"",""
27-TOURS,1,APR Tours,Tours,"4,6",250,651,,,,1136,"",""
12-RENNE,0,ATLANTIC MOVERS Nantes,Nantes,"4,8",113,312,,,,241,"",""
12-RENNE,0,ATLANTIC MOVERS Saint Nazaire,Saint-Nazaire,"4,7",55,151,,,,69,"",""
12-SHERB,0,ATLANTIC MOVERS Saint-Herblain,Saint-Herblain,"4,4",430,1046,"4,7",286,761,70,"",""
34-BEAU,0,BEAULIEU Granville,Granville,"4,5",85,212,"4,9",121,352,164,"",""
63-B,0,BIGAUT DÉMÉNAGEMENTS Maxeville,Maxéville,"3,2",6,7,,,,1195,"",""
38-BLACHE,0,BLACHE Annecy,Annecy,"3,7",27,47,"4,9",14,40,83,"",""
38-BLACHE,0,BLACHE Annemasse,Annemasse,"4,5",17,43,"4,8",8,22,82,"",""
38-BLACHE,0,BLACHE Grenoble,Grenoble,"4,1",27,58,"4,7",51,136,81,"",""
38-BLACHE,0,BLACHE Montmelian,Montmélian,"4,0",189,369,"4,5",90,226,80,"",""
71-B,1,BLANQUART Déménagements Lille,Lille,"4,0",129,258,,,,1181,"",""
71-B,1,BLANQUART Déménagements Renescure,Renescure,"3,6",61,95,,,,1182,"",""
42-BLOR,1,BOULOUARD Lorient,Lorient,"4,1",22,46,,,,1137,"",""
17-BLOIS,0,CARRE Blois,Blois,"4,6",120,306,"4,5",81,206,85,"",""
17-BLOIS,0,CARRE Pruniers en Sologne,Pruniers-en-Sologne,"4,9",41,120,"4,6",8,21,181,"",""
17-TOURS,0,CARRE St Pierre des Corps,Saint-Pierre-des-Corps,"4,2",354,774,"4,5",297,748,84,"",""
68-CHALLE,0,CHALLENGE GENNEVILLIERS,Gennevilliers,"4,4",27,64,,,,27,"",""
68-CHALLE,0,CHALLENGE LEVALLOIS,Levallois-Perret,"4,2",66,142,"4,8",57,157,26,"",""
68-CHALLE,0,CHALLENGE PARIS 17,Paris,"5,0",5,15,,,,249,"",""
27-DETG,1,DAVID & GENDRE Blois,Blois,"4,6",62,159,,,,1144,"",""
18-NIM,0,Davin Ales,Alès,"4,6",32,84,"4,4",10,24,183,"",""
18-AVIG,0,DAVIN Avignon,Avignon,"4,1",268,564,"4,5",158,397,87,"",""
18-NIM,0,DAVIN Nimes,Nîmes,"4,3",62,143,"4,5",34,85,86,"",""
50-MARS,0,DAZIN Aix-en-Provence,Aix-en-Provence,"3,9",14,26,"4,6",28,73,91,"",""
50-MARS,0,Dazin Arles,Arles,"4,6",11,29,"4,7",7,19,194,"",""
50-MARS,0,DAZIN Les Pennes-Mirabeau,Les Pennes-Mirabeau,"4,0",182,373,"4,7",66,176,88,"",""
50-MARS,0,Dazin Marseille 07,Marseille,,,,"4,9",9,26,90,"",""
50-MARS,0,DAZIN Marseille 8,Marseille,"4,4",8,19,"4,8",24,68,223,"",""
50-MARS,0,DAZIN Martigues,Martigues,"4,3",11,25,"4,7",18,49,191,"",""
,0,DEMENA F.T CHARTRES,Le Coudray,,,,"4,8",137,381,35,,
,0,DEMENA F.T DREUX,Vernouillet,,,,"5,0",2,6,216,,
,0,DEMENA F.T Etampes,Etampes,,,,"4,7",15,41,169,,
,0,DEMENA F.T LONGJUMEAU,Longjumeau,,,,"4,8",106,298,34,,
,0,DEMENA F.T RAMBOUILLET,Rambouillet,,,,"4,6",87,229,33,,
3-ADA,0,DEMENAGEMENTS VALETTE ARCACHON,Arcachon,"4,3",11,25,,,,180,"",""
3-ADA,0,DEMENAGEMENTS VALETTE BORDEAUX,Bordeaux,"4,0",8,16,"4,6",172,442,240,"",""
3-ADA,0,DEMENAGEMENTS VALETTE Bruges,Bruges,"4,3",599,1351,"4,7",489,1304,76,"",""
3-ADA,0,DEMENAGEMENTS VALETTE GRADIGNAN,Gradignan,"4,9",19,56,,,,179,"",""
13-SHERB,1,DROUIN Nantes,Saint-Herblain,"4,6",247,631,,,,1147,"",""
58-DR,1,DUHAUT ROLLIN Nancy,Bois de Haye,"4,4",138,327,,,,1171,"",""
,0,DULAC CUSSAC,Cussac-sur-Loire,,,,"4,8",28,77,49,,
,0,DULAC La Talaudière,La Talaudière,,,,"4,9",202,584,48,,
,0,DULAC ROANNE,Roanne,,,,"4,8",6,17,47,,
,0,DULAC VIENNE,Estrablin,,,,"4,4",8,19,46,,
37-FERLAY,0,FERLAY JANIN Bourgoin Jallieu,Bourgoin-Jallieu,"4,7",25,67,"4,5",2,5,99,"",""
37-FERLAY,0,FERLAY JANIN Chassieu,Saint-Priest,"3,8",77,136,"4,2",10,22,186,"",""
37-FERLAY,0,FERLAY JANIN Lyon 2,Lyon,"4,3",172,401,"4,8",69,192,97,"",""
37-FERLAY,0,FERLAY JANIN Tassin la Demi-Lune,Tassin-la-Demi-Lune,"4,5",22,55,,,,98,"",""
34-CHER,0,GOURDELIER Cherbourg en Cotentin,Equeurdreville-Hainneville,"4,5",93,230,"4,8",111,315,93,"",""
34-BEAU,0,GOURDELIER Saint Lô,Saint-Lô,"4,5",20,50,,,,182,"",""
59-GRILAR,0,GRIMAUD Challans,Challans,,,,"4,4",26,62,193,"",""
59-GRILAR,0,GRIMAUD Fontenay,Fontenay-le-Comte,"4,1",39,81,"4,7",72,196,59,"",""
59-GRILAR,0,GRIMAUD La Roche sur Yon,La Roche-sur-Yon,,,,"4,4",7,17,252,"",""
59-GRIFON,0,GRIMAUD Les Herbiers,Les Herbiers,,,,"4,8",8,22,217,"",""
59-GRILAR,0,GRIMAUD Les Sables d'Olonne,Les Sables-d'Olonne,"4,8",35,98,"4,6",36,95,57,"",""
59-GRIFON,0,GRIMAUD LUCON,Luçon,"4,6",174,448,"4,7",206,546,58,"",""
36-GUIG,1,GUIGARD Chassieu,Saint-Priest,"4,1",95,199,,,,1175,"",""
36-GUIG,1,GUIGARD Lyon,Lyon,"4,3",71,162,,,,1153,"",""
33-CHAP,0,GV DEMENAGEMENTS CALAIS,Calais,"4,2",40,87,,,,218,"",""
33-VBD,0,GV DEMENAGEMENTS DUNKERQUE,Dunkerque,"3,7",50,84,"4,4",70,168,161,"",""
33-CHAP,0,GV DEMENAGEMENTS HALLENNES-LEZ-HAUBOURBIN,Hallennes-lez-Haubourdin,"4,0",169,336,"4,5",198,504,94,"",""
33-VBD,0,GV DEMENAGEMENTS Hallennes-lez-Haubourdin,Hallennes-lez-Haubourdin,"3,6",42,66,,,,244,"",""
33-CHAP,0,GV DEMENAGEMENTS Lille,Lille,"4,4",130,311,"4,5",40,100,95,"",""
33-VBD,0,GV DEMENAGEMENTS Valenciennes,Valenciennes,"1,3",3,-2,,,,157,"",""
56-L,0,HCDEM Luxembourg,Esch-sur-Alzette,"4,6",5,13,"4,7",32,86,61,"",""
54-A,0,HEISS CLAUDE DEMENAGEMENTS,Metz,"4,7",325,874,"4,8",633,1747,62,"",""
63-B,1,HUET DEMENAGEMENTS Buc,Buc,"4,5",252,629,,,,1177,"",""
25-JAUF,1,JAUFRET Avignon,Avignon,"4,3",213,485,,,,1152,"",""
24-ANGE,0,JCS Beaucouze,Beaucouzé,"4,0",210,429,"4,6",154,398,102,"",""
24-ANGE,0,JCS Carre Cholet,Cholet,"4,5",20,50,"4,9",20,58,101,"",""
24-ANGE,0,JCS Carre SAUMUR,Saumur,"4,7",47,125,"4,7",17,46,175,"",""
24-ANGE,0,JCS Laval,Laval,"4,9",10,29,"4,5",35,88,100,"",""
16-POIT,0,LDPC Chatellerault,Châtellerault,"4,3",33,77,"4,0",2,4,189,"",""
15-TONN,0,LDPC Cognac,Cognac,"4,9",18,53,,,,107,"",""
16-POIT,0,LDPC La Crèche,La Crèche,"4,7",27,72,,,,104,"",""
15-TONN,0,LDPC La Rochelle,La Rochelle,"4,6",39,100,"4,4",7,17,106,"",""
16-POIT,0,LDPC Poitiers,Poitiers,"4,3",187,429,"4,7",275,739,103,"",""
15-TONN,0,LDPC Tonnay Charente,Tonnay-Charente,"4,5",261,663,"4,8",385,1066,105,"",""
35-LEFLO,1,LE FLOCH DEMENAGEMENT Brest,Saint Divy,"4,6",60,153,,,,1194,"",""
40-CHER,1,LE FLOCH DEMENAGEMENT Cherbourg,Cherbourg-en-Cotentin,"4,7",42,115,,,,1154,"",""
35-LEFLO,1,LE FLOCH DEMENAGEMENT Saint Divy,Saint Divy,"4,5",223,564,,,,1155,"",""
63-M,1,LES DEMENAGEURS DE LA MAULDRE Buc,Buc,"4,4",8,19,,,,1176,"",""
48-SN,0,MATRALOC SN Brignoles,Brignoles,"4,5",36,89,,,,109,"",""
48-SN,0,MATRALOC SN Hyeres,Hyères,"4,6",37,95,,,,185,"",""
48-SN,0,MATRALOC SN La Seyne sur Mer,La Seyne-sur-Mer,"4,0",205,417,"4,5",201,506,108,"",""
11-BOURG,0,Mesnager S.A BOURGES,Bourges,"4,8",77,215,"4,6",30,78,171,"",""
11-CHAT,0,Mesnager S.A CHATEAUROUX,Châteauroux,"4,5",110,271,"4,7",114,303,170,"",""
1-ORLE,0,Nasse et Marchand Amilly,Amilly,"4,4",17,40,,,,112,"",""
1-ORLE,0,NASSE ET MARCHAND Saint-Jean-de-la-Ruelle,Saint-Jean-de-la-Ruelle,"4,2",302,663,"4,6",161,420,113,"",""
32-CLERM,0,RIVALIER Gerzat,Gerzat,"4,3",226,516,"4,8",32,90,96,"",""
32-CLERM,0,RIVALIER Moulins,Moulins,"4,9",68,199,,,,184,"",""
32-CLERM,0,RIVALIER Vichy,Vichy,"4,5",25,62,,,,163,"",""
45-01,0,SANS DEMETERRE Bruguières,Bruguières,"4,4",148,354,"4,6",347,888,117,"",""
45-01,0,SANS DEMETERRE Montauban,Montauban,"3,9",26,50,"4,6",9,23,116,"",""
45-01,0,SANS DEMETERRE Muret,Muret,"5,0",10,30,,,,187,"",""
45-01,0,SANS DEMETERRE Pamiers,Pamiers,"3,7",21,36,"4,4",7,17,115,"",""
45-01,0,SANS DEMETERRE Toulouse,Toulouse,"4,1",52,107,"5,0",1,3,114,"",""
55-S,0,SOLODEM Epinal,Epinal,"5,0",31,92,,,,226,"",""
55-S,0,SOLODEM Maxéville,Maxéville,"4,3",204,462,"4,7",399,1058,60,"",""
,0,SOLODEM Nancy,Nancy,,,,"4,3",21,49,258,,
41-TOR,0,TORRENS Fontainebleau,Fontainebleau,"4,7",26,71,"5,0",2,6,219,"",""
41-TOR,0,TORRENS OUDINOT Paris 7,Paris,"4,6",163,416,,,,110,"",""
41-TOR,0,TORRENS Paris 3,Paris,"4,9",90,258,,,,222,"",""
41-TOR,0,TORRENS Paris 8,Paris,"4,8",56,159,,,,214,"",""
41-TOR,0,TORRENS Villabé,Villabé,"4,6",405,1052,"4,7",342,921,196,"",""
3-VAL,1,VALETTE Bruges,Bruges,"4,1",64,135,,,,1158,"",""
